"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Nlp",-0.0982361809082217,6.56787684230619,-0.159648983750806,0.873550549980179,0.873550549980179,-4.66129119736919
"CG33523",-0.0516122839369197,3.65636852356587,-0.159617326049913,0.873575409571322,0.873575409571322,-4.66129184571444
"CSN1a",0.0456457530825285,1.0738663596404,0.159571010149627,0.873611779919204,0.873611779919204,-4.66129279402614
"fok",0.135270351717941,6.69030781200261,0.159525097188051,0.873647834121075,0.873647834121075,-4.66129373381642
"CG13905",-0.0725193796364154,6.86563093646647,-0.159521096496568,0.873650975768108,0.873650975768108,-4.66129381569359
"CG4630",-0.0620021376689746,4.15122144965188,-0.159484371150979,0.873679815395632,0.873679815395632,-4.6612945672097
"CG3062",0.0403689867854988,0.751784988445914,0.159434881748075,0.873718678634413,0.873718678634413,-4.6612955796452
"lwr",-0.106482984322429,5.01162311790497,-0.159412507170708,0.873736249135022,0.873736249135022,-4.66129603727283
"mfrn",-0.0606021541374355,4.94114808999104,-0.159363849412447,0.873774459736942,0.873774459736942,-4.66129703224936
"CG43190",0.0327061226009072,0.57166924952357,0.159307997075567,0.873818320561415,0.873818320561415,-4.66129817397
"CG8204",0.137539055887159,3.60240805570363,0.159298021867826,0.87382615413082,0.87382615413082,-4.66129837783883
"CG33199",0.152479093298791,6.84829184347884,0.159272066492558,0.873846537046914,0.873846537046914,-4.66129890824342
"CG30379",0.0877228687967924,1.12402420975133,0.159151468711718,0.873941244345375,0.873941244345375,-4.66130137155685
"CG15873",0.0382194052955249,0.630867844685955,0.159077773735191,0.873999119053288,0.873999119053288,-4.66130287592272
"CG3292",0.104340266473601,3.43555056634069,0.159016638900677,0.874047130454528,0.874047130454528,-4.66130412336512
"shg",-0.0609759108701218,4.02293234554812,-0.158971070198607,0.87408291751503,0.87408291751503,-4.66130505287258
"CG1552",-0.0898618624000207,3.14521193844243,-0.158949698345781,0.874099701840094,0.874099701840094,-4.6613054887226
"Hr51",-0.018012377749676,0.144255593416852,-0.158781165280439,0.874232060834118,0.874232060834118,-4.66130892367572
"CG11275",-0.0673855028520993,5.4120496564011,-0.158642877660979,0.874340668965998,0.874340668965998,-4.66131173946333
"CG31064",-0.0412369328569155,1.58341280154307,-0.158634508129639,0.874347242293895,0.874347242293895,-4.66131190980357
"spn-F",-0.0744294045704939,4.54715374406412,-0.158592894018661,0.874379925640522,0.874379925640522,-4.66131275661829
"CG3328",-0.0423971161124828,3.05531784142011,-0.158542355950683,0.874419618075805,0.874419618075805,-4.66131378473018
"Mys45A",-0.0542886518344496,2.59103609474498,-0.15850294516815,0.874450571400395,0.874450571400395,-4.66131458624905
"CG13021",-0.0785178909994088,1.32814794732916,-0.158355804843963,0.874566137497887,0.874566137497887,-4.66131757696438
"CG11127",0.0547201518386626,3.7261018250926,0.158299685836688,0.874610214880068,0.874610214880068,-4.66131871688601
"CG12607",-0.0506796959848203,0.886663054943617,-0.158244427658082,0.874653616531347,0.874653616531347,-4.66131983892763
"hdly",-0.0618270382352635,4.86380960964892,-0.158201745967353,0.874687140444549,0.874687140444549,-4.66132070533028
"l(2)k01209",-0.0486444995193378,3.44059118777469,-0.158181780319827,0.874702822344205,0.874702822344205,-4.6613211105361
"NiPp1",-0.0674127553574504,3.15479616066043,-0.158142228172409,0.874733888492223,0.874733888492223,-4.66132191310204
"CG30008",0.0758280098544102,6.49044383215632,0.158110828229222,0.874758551649204,0.874758551649204,-4.66132255010612
"LRP1",-0.0352094786062169,2.69743123524065,-0.158105223868029,0.874762953620515,0.874762953620515,-4.66132266378733
"Oseg4",-0.0515077498737039,0.725527504183553,-0.158072393606685,0.874788740379769,0.874788740379769,-4.66132332964928
"Patj",-0.0683442303398598,3.7605856824408,-0.158000649770128,0.874845092551122,0.874845092551122,-4.66132478427398
"CG15143",-0.0349448673548707,0.741780488171465,-0.157924439038845,0.87490495401364,0.87490495401364,-4.66132632874361
"ush",-0.0702906504187923,2.4148309292114,-0.157899058246164,0.874924890099785,0.874924890099785,-4.66132684293987
"Mesh1",-0.15092042450245,2.45853787432225,-0.157864313376668,0.874952181605107,0.874952181605107,-4.66132754671161
"CG17896",-0.0626101189688999,5.38014902053225,-0.157856761371301,0.874958113597196,0.874958113597196,-4.66132769966014
"CG3121",0.0464636857785384,1.42252063918226,0.157767548122377,0.875028189868388,0.875028189868388,-4.66132950591656
"CG15580",0.029791418821093,0.401896283154584,0.157750370775908,0.875041682646962,0.875041682646962,-4.66132985358068
"CG10413",-0.0485218751741039,5.01705660544051,-0.157678345251937,0.875098258985257,0.875098258985257,-4.66133131094308
"maf-S",0.102195346353259,4.30994848332061,0.157639909144499,0.875128450968067,0.875128450968067,-4.66133208838616
"CG11876",0.065292677624047,6.14199759254581,0.157621730891306,0.875142730249265,0.875142730249265,-4.6613324560098
"corto",-0.148108502360767,4.23493003021582,-0.157575219044016,0.875179266167519,0.875179266167519,-4.66133339643849
"nec",-0.0649369224709084,4.6882966194149,-0.157543942665337,0.875203834495123,0.875203834495123,-4.66133402866349
"GstT4",-0.0899202259184584,5.8007163697755,-0.157540875401692,0.875206243909115,0.875206243909115,-4.66133409065883
"RpS26",-0.0588359018207329,10.9151222226801,-0.157540120309944,0.875206837053163,0.875206837053163,-4.66133410592051
"inaF-B",-0.130214354360019,1.02158906044009,-0.157392085685893,0.87532312344817,0.87532312344817,-4.66133709653936
"CtsB1",-0.0747673840889185,9.5140275366524,-0.157162654640857,0.875503355006357,0.875503355006357,-4.66134172599251
"Ptp99A",-0.0432293129604862,2.66344239203498,-0.157048170610285,0.87559329139498,0.87559329139498,-4.66134403352521
"Hipk",-0.083523661505472,3.01596718888935,-0.15704217737337,0.875597999608368,0.875597999608368,-4.66134415427824
"Usp15-31",-0.0433445759175524,2.80086787682967,-0.156942495978346,0.875676308746667,0.875676308746667,-4.66134616200553
"CG15773",-0.0642684366426277,1.34852495924467,-0.15676434750474,0.87581626426368,0.87581626426368,-4.6613497470017
"CG11882",-0.0760900452963833,4.25276650743108,-0.156716466489799,0.875853880821577,0.875853880821577,-4.66135070984866
"Nsun5",0.062268597063778,4.50653637954657,0.156583624255848,0.875958246595465,0.875958246595465,-4.66135337965599
"CG15514",-0.0495392634082248,4.74085234627721,-0.156530771482321,0.875999770300767,0.875999770300767,-4.66135444123992
"lawc",-0.135886693006782,5.99362203087969,-0.156518988452906,0.876009027668227,0.876009027668227,-4.66135467786129
"CG9451",-0.091528912680878,3.59499143116429,-0.156510644460227,0.876015583158051,0.876015583158051,-4.66135484541074
"CG18598",0.103736128948873,1.78048836389029,0.156491320813894,0.876030764888106,0.876030764888106,-4.66135523340011
"slbo",0.104442998956795,3.1336696406963,0.156477566756955,0.876041570867624,0.876041570867624,-4.66135550953148
"jeb",-0.0307534486814185,0.37372587890432,-0.156222437557153,0.876242019330098,0.876242019330098,-4.66136062720075
"CG15394",-0.149562886434134,2.99725340899032,-0.156092100670807,0.876344424796456,0.876344424796456,-4.6613632384258
"CG5885",0.0800882973714581,7.01968717627929,0.156070441925111,0.876361442239842,0.876361442239842,-4.66136367213545
"CG10345",0.0526780474624982,1.56360882968708,0.156016140995454,0.876404107154579,0.876404107154579,-4.6613647592304
"CG30050",0.0378201550189667,0.153402930628854,0.155895328846814,0.876499032071945,0.876499032071945,-4.66136717651251
"Thor",-0.06660227470402,7.91615279409112,-0.155833386946969,0.876547701966145,0.876547701966145,-4.66136841515793
"RYa-R",-0.0367729583275025,0.529013016056206,-0.155795717490143,0.876577300394391,0.876577300394391,-4.66136916818952
"hppy",0.0355565594272174,2.09119377753871,0.155769169864904,0.876598160051646,0.876598160051646,-4.66136969878079
"CG4951",-0.0907417128626462,2.53483603593017,-0.155768263595288,0.876598872149783,0.876598872149783,-4.66136971689226
"CG9413",0.072487127082137,3.32495409596083,0.155650754989748,0.876691204981364,0.876691204981364,-4.66137206436712
"CG5888",-0.059088742593985,3.60379672215503,-0.155538506704928,0.876779406091927,0.876779406091927,-4.66137430510378
"LTV1",-0.0696299709590815,6.56088864018601,-0.155301154085462,0.876965915315441,0.876965915315441,-4.66137903789663
"CG5189",0.0670903597358983,6.85764599146959,0.155286998207143,0.876977039077552,0.876977039077552,-4.66137931993561
"CG10347",-0.0639889606634521,4.29815785559961,-0.155263705294744,0.876995342821969,0.876995342821969,-4.66137978396321
"CG44774",-0.0587288170768159,3.46225465165823,-0.155220295504592,0.877029454737809,0.877029454737809,-4.66138064856174
"agt",-0.117822371452113,2.3429623168365,-0.155153919619765,0.87708161412651,0.87708161412651,-4.66138197011211
"Dhx15",-0.0666393251325172,3.90954759549873,-0.155131357339937,0.877099344103952,0.877099344103952,-4.66138241920072
"Mp",-0.0622768357238495,2.43190995447679,-0.15506394329647,0.877152320040752,0.877152320040752,-4.66138376064805
"bc10",-0.108520393089671,3.6601152707127,-0.155059660378169,0.877155685702772,0.877155685702772,-4.66138384585259
"CG11839",0.0739184982038052,5.26634261392874,0.155016208085893,0.877189832111164,0.877189832111164,-4.66138471016128
"CG4597",0.0567372891889762,0.328235338455296,0.155002359150532,0.877200715162512,0.877200715162512,-4.66138498557934
"CG9129",0.0570098262477595,1.88616364446754,0.154906226570975,0.877276260667967,0.877276260667967,-4.66138689672012
"Pburs",0.0491956151837278,0.556586112184205,0.15489076497563,0.877288411223572,0.877288411223572,-4.66138720399011
