"X","Mechanism","Factor"
"CG13227","Trans-dominant","Stage"
"CG15296","Trans-dominant","Stage"
"CG4681","Trans-dominant","Stage"
"CG12035","Trans-dominant","Stage"
"CG11470","Trans-dominant","Stage"
"CG32238","Trans-dominant","Stage"
"ND-20L","Trans-dominant","Stage"
"CG16739","Trans-dominant","Stage"
"Tps1","Trans-dominant","Stage"
"CG9452","Trans-dominant","Stage"
"CG30161","Trans-dominant","Stage"
"CG31050","Trans-dominant","Stage"
"CG7514","Trans-dominant","Stage"
"ftz-f1","Trans-dominant","Stage"
"SoYb","Trans-dominant","Stage"
"CG2336","Trans-dominant","Stage"
"CG14661","Trans-dominant","Stage"
"CG42383","Trans-dominant","Stage"
"CG9483","Trans-dominant","Stage"
"CG10345","Trans-dominant","Stage"
"CG6429","Trans-dominant","Stage"
"Mst89B","Trans-dominant","Stage"
"CG13541","Trans-dominant","Stage"
"RyR","Trans-dominant","Stage"
"Prosbeta4R2","Trans-dominant","Stage"
"CREG","Trans-dominant","Stage"
"SkpF","Trans-dominant","Stage"
"CG32832","Trans-dominant","Stage"
"rha","Trans-dominant","Stage"
"CG44433","Trans-dominant","Stage"
"AQP","Trans-dominant","Stage"
"SdhA","Trans-dominant","Stage"
"CG4712","Trans-dominant","Stage"
"wor","Trans-dominant","Stage"
"ase","Trans-dominant","Stage"
"CG13110","Trans-dominant","Stage"
"Ddc","Trans-dominant","Stage"
"CG31702","Trans-dominant","Stage"
"CG10822","Trans-dominant","Stage"
"CG42355","Trans-dominant","Stage"
"CG32299","Trans-dominant","Stage"
"Ir7c","Trans-dominant","Stage"
"E(spl)m7-HLH","Trans-dominant","Stage"
"CG17048","Trans-dominant","Stage"
"hig","Trans-dominant","Stage"
"CG1421","Trans-dominant","Stage"
"CG32447","Trans-dominant","Stage"
"CG33234","Trans-dominant","Stage"
"CG13581","Trans-dominant","Stage"
"CG7907","Trans-dominant","Stage"
"CG15333","Trans-dominant","Stage"
"CG34161","Trans-dominant","Stage"
"CG1999","Trans-dominant","Stage"
"CG15198","Trans-dominant","Stage"
"png","Trans-dominant","Stage"
"E(spl)mdelta-HLH","Trans-dominant","Stage"
"tor","Trans-dominant","Stage"
"CG4955","Trans-dominant","Stage"
"CG14589","Trans-dominant","Stage"
"CG15705","Trans-dominant","Stage"
"CG4218","Trans-dominant","Stage"
"CG10202","Trans-dominant","Stage"
"CG17118","Trans-dominant","Stage"
"CG13083","Trans-dominant","Stage"
"Fmo-2","Trans-dominant","Stage"
"CG14983","Trans-dominant","Stage"
"CG5062","Trans-dominant","Stage"
"CG12607","Trans-dominant","Stage"
"CG11044","Trans-dominant","Stage"
"wa-cup","Trans-dominant","Stage"
"CG16852","Trans-dominant","Stage"
"CG2291","Trans-dominant","Stage"
"Cyt-c-d","Trans-dominant","Stage"
"CG18662","Trans-dominant","Stage"
