"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Su(H)",-0.584860274783382,2.13598162716056,-1.57334437924547,0.119493368863824,0.119493368863824,-6.09256797382953
"CG8173",-1.0796346131242,4.99159332802956,-1.5721532800001,0.119769382415451,0.119769382415451,-6.09440044308714
"isoQC",0.745375975298887,5.4266490103378,1.57058909661324,0.120132622961973,0.120132622961973,-6.09680490675353
"CG17219",-0.571379524044364,1.58563344412496,-1.57010831045866,0.120244449265689,0.120244449265689,-6.09754351886384
"Ote",-0.728866327914028,4.74181712751786,-1.56996347346288,0.120278153241146,0.120278153241146,-6.09776598429623
"CG11911",-1.45629731634965,9.16749869012895,-1.56913066317669,0.120472096725589,0.120472096725589,-6.0990447818773
"Su(dx)",-0.484675502530237,3.24525233225755,-1.56871040185361,0.120570061087317,0.120570061087317,-6.0996898594109
"CG12688",0.310964202238433,0.397777571605115,1.56711141374435,0.120943371237508,0.120943371237508,-6.1021427294071
"dsd",-0.784009673812204,2.44348528922022,-1.56638402126193,0.121113497521387,0.121113497521387,-6.10325778018799
"park",0.753831626989179,2.96340369583852,1.56625048333852,0.121144750759941,0.121144750759941,-6.10346243317609
"TppII",0.608108318137319,5.37081984987434,1.56549889038267,0.121320773570474,0.121320773570474,-6.1046139773716
"CG10631",-0.374636884038378,1.74069718094597,-1.56510200240534,0.121413806759662,0.121413806759662,-6.10522185457183
"CG32333",0.57625602168709,1.6848732572794,1.56496528034092,0.121445868479296,0.121445868479296,-6.10543122570571
"sbr",-0.58125611123141,3.63261759353395,-1.56276228536055,0.121963407428989,0.121963407428989,-6.10880243618672
"CG31360",1.61489685321044,4.8945205199835,1.5627297174241,0.121971071606599,0.121971071606599,-6.10885224086658
"Syx6",-0.358212740083867,5.21736471925015,-1.56161418467211,0.122233820293102,0.122233820293102,-6.11055758467855
"rept",-0.501983662590443,4.56898184915496,-1.56116136278004,0.122340604844707,0.122340604844707,-6.11124949792329
"Usp2",-0.680195234673465,3.57598880987199,-1.56049975782597,0.122496758125295,0.122496758125295,-6.11226009248875
"fsd",0.692263196220372,4.60439990757009,1.56041735579609,0.122516217913473,0.122516217913473,-6.11238593245813
"CG5910",-0.908480017057754,4.7297604820287,-1.55920699103908,0.122802337127193,0.122802337127193,-6.11423361543351
"Pex6",-0.711854554157409,3.13106279999423,-1.55899073700857,0.122853513538118,0.122853513538118,-6.11456359591663
"Rpi",-0.734303696483368,5.09553661101727,-1.55801938271209,0.123083593333143,0.123083593333143,-6.11604524665756
"Tango10",-0.58595652659999,3.17482114198259,-1.55762684069602,0.123176669954175,0.123176669954175,-6.11664376193816
"raw",0.486777845927716,3.51953537239372,1.55499204809882,0.12380286173423,0.12380286173423,-6.1206573953925
"Cap-D3",1.84715929202166,4.62341814600615,1.55444835524332,0.123932391603887,0.123932391603887,-6.12148481682677
"borr",-0.663825457716136,4.54690670582094,-1.55368766387671,0.124113800122242,0.124113800122242,-6.12264202073909
"IFT52",-0.417319852413841,0.846510157768481,-1.55368416171987,0.124114635798944,0.124114635798944,-6.12264734717061
"Capr",-0.599473448471937,5.53679009237142,-1.55314084088634,0.124244335939839,0.124244335939839,-6.12347354695157
"Atet",0.487437262051339,3.61422232578084,1.5519353363423,0.124532495375586,0.124532495375586,-6.12530572249894
"Nup43",-0.57293163047802,5.06135653088787,-1.55160620775832,0.124611261261035,0.124611261261035,-6.12580571266047
"Girdin",-0.460036425717993,2.13968861382882,-1.55072426695279,0.124822519283517,0.124822519283517,-6.12714500538079
"NKAIN",-0.569385502658314,4.19753173780401,-1.54932833139548,0.125157479615244,0.125157479615244,-6.12926336999725
"l(2)k05819",-0.592516905852035,3.36196177897257,-1.54905100464363,0.125224110167185,0.125224110167185,-6.12968400561996
"Sec15",-0.568626421549192,3.27082606603143,-1.54841441497131,0.125377163763856,0.125377163763856,-6.13064928510124
"Nha1",0.758259674262399,5.1289496495839,1.54807480047588,0.125458877105196,0.125458877105196,-6.13116409943478
"CG8620",-0.768661460259281,3.45534638162698,-1.54786042807156,0.125510478183322,0.125510478183322,-6.13148900714799
"SMC3",-0.42768986591002,2.2241584150657,-1.54762448138611,0.125567291825283,0.125567291825283,-6.1318465642877
"ZnT49B",-0.579802055898784,4.35621349494579,-1.54731087562028,0.125642836597343,0.125642836597343,-6.13232172760285
"CG33626",0.0874364834938826,0.0171981237430459,1.54455230826956,0.126308905170241,0.126308905170241,-6.13649748939174
"Sec6",0.45512861036684,3.0511968508816,1.54412462509244,0.126412421483604,0.126412421483604,-6.13714426255217
"S1P",-0.4225678248433,2.00758134835277,-1.54389554410764,0.126467895840012,0.126467895840012,-6.13749062576071
"CG32276",1.10534986746364,9.96797596925104,1.54354258300502,0.126553406843964,0.126553406843964,-6.13802419691656
"drl",0.992031556595728,2.66572743000666,1.54351379724682,0.126560382718935,0.126560382718935,-6.13806770726056
"RpIII128",-0.462673653262396,3.35183567190924,-1.54337514469661,0.126593987732619,0.126593987732619,-6.13827727309785
"Nipped-A",-0.506340248461808,1.8527679326382,-1.54306255306547,0.126669776057847,0.126669776057847,-6.13874967331082
"pb",0.187023141169681,0.193473312266307,1.54286941690032,0.126716620195455,0.126716620195455,-6.13904150282546
"CG7277",-0.487477963378271,5.96274829080421,-1.54278831164491,0.12673629593277,0.12673629593277,-6.13916404291628
"gry",-0.53119994420197,2.79475094772467,-1.54160914258518,0.127022630219002,0.127022630219002,-6.14094493629342
"CG4332",-0.592864170929706,3.35465246512891,-1.54139534095848,0.127074601929413,0.127074601929413,-6.14126770229647
"Mad",-0.658585893395073,4.29105824608843,-1.54079207512404,0.127221336938533,0.127221336938533,-6.14217819592672
"Ptp61F",-0.552634827109631,3.13322264287263,-1.53944393306548,0.127549736744044,0.127549736744044,-6.14421169671523
"CG12116",0.683928225471228,7.5272352774232,1.53891408225424,0.127678989097873,0.127678989097873,-6.14501044950755
"l(2)37Cg",-1.45821804931095,3.80379243961113,-1.53841402555879,0.12780106858136,0.12780106858136,-6.1457640495442
"bou",1.18008252623577,4.38384564552428,1.53795411481792,0.127913428775016,0.127913428775016,-6.14645694443794
"CG12155",-0.462950126742967,2.4407848965643,-1.53660120906108,0.12824440899175,0.12824440899175,-6.14849407931833
"PGRP-SA",0.78624779811919,3.10670101804687,1.53594675958421,0.128404759236542,0.128404759236542,-6.14947890800784
"Nse4",-0.68858744137126,3.60080319478324,-1.53535732941179,0.128549314544931,0.128549314544931,-6.15036555544781
"Mekk1",-0.473268768732526,3.47196510840701,-1.53468026807863,0.128715519947581,0.128715519947581,-6.15138362524445
"PIP5K59B",-0.613409580685734,1.21954523205076,-1.53381443602787,0.128928312624938,0.128928312624938,-6.15268492437052
"CG11550",-0.709966533714264,1.99089178265463,-1.53341933294109,0.12902550824396,0.12902550824396,-6.15327851278163
"CG42233",0.689849311150483,1.34443771667541,1.53286812754063,0.129161201972016,0.129161201972016,-6.15410638241963
"Sox100B",0.327341935224426,0.532548544679095,1.53226640215993,0.129309461377923,0.129309461377923,-6.15500980853966
"Rtf1",-0.444879990095528,4.20484471618526,-1.53142479005703,0.12951705234179,0.12951705234179,-6.15627283712251
"CG16865",-0.260927670819973,2.25567123460371,-1.53139384499427,0.12952469023165,0.12952469023165,-6.1563192646746
