"Gene","Mechanism","Factor"
"Tsp33B","Cis x Trans","Stage"
"bcd","Cis x Trans","Stage"
"Ork1","Cis x Trans","Stage"
"CG32983","Cis x Trans","Stage"
"CG14598","Cis x Trans","Stage"
"CG32762","Cis x Trans","Stage"
"CG7829","Cis x Trans","Stage"
"CG15631","Cis x Trans","Stage"
"NimC2","Cis x Trans","Stage"
"CG15925","Cis x Trans","Stage"
"CG18371","Cis x Trans","Stage"
"CG5084","Cis x Trans","Stage"
"LS2","Cis x Trans","Stage"
"CG17344","Cis x Trans","Stage"
"Vha100-3","Cis x Trans","Stage"
"CG17669","Cis x Trans","Stage"
"CG2577","Cis x Trans","Stage"
"CG12069","Cis x Trans","Stage"
"CG14546","Cis x Trans","Stage"
"CG15734","Cis x Trans","Stage"
"CG6484","Cis x Trans","Stage"
"Cp7Fb","Cis x Trans","Stage"
"PIP82","Cis x Trans","Stage"
"CG3121","Cis x Trans","Stage"
"glob2","Cis x Trans","Stage"
"CG4991","Cis x Trans","Stage"
"PpN58A","Cis x Trans","Stage"
"ND-51L2","Cis x Trans","Stage"
"FucTD","Cis x Trans","Stage"
"CG11630","Cis x Trans","Stage"
"Vha36-2","Cis x Trans","Stage"
"Cp7Fc","Cis x Trans","Stage"
"CG31803","Cis x Trans","Stage"
"Rcd7","Cis x Trans","Stage"
"CG31275","Cis x Trans","Stage"
"CG13436","Cis x Trans","Stage"
"Fbp2","Cis x Trans","Stage"
"CG6059","Cis x Trans","Stage"
"tbrd-2","Cis x Trans","Stage"
"Tsp42Ep","Cis x Trans","Stage"
"CG9582","Cis x Trans","Stage"
"CG1287","Cis x Trans","Stage"
"CG14316","Cis x Trans","Stage"
"ms(2)34Fe","Cis x Trans","Stage"
"Cyp305a1","Cis x Trans","Stage"
"hoe1","Cis x Trans","Stage"
"CG3085","Cis x Trans","Stage"
"Cp7Fa","Cis x Trans","Stage"
"Indy-2","Cis x Trans","Stage"
"CG7024","Cis x Trans","Stage"
"CG7140","Cis x Trans","Stage"
"CG6435","Cis x Trans","Stage"
"Send2","Cis x Trans","Stage"
"CG9313","Cis x Trans","Stage"
"CG30412","Cis x Trans","Stage"
"CG11373","Cis x Trans","Stage"
"tj","Cis x Trans","Stage"
"CG6996","Cis x Trans","Stage"
"Cpr62Bb","Cis x Trans","Stage"
"CG11865","Cis x Trans","Stage"
"CG30393","Cis x Trans","Stage"
"Tengl1","Cis x Trans","Stage"
"CG14664","Cis x Trans","Stage"
"CG15125","Cis x Trans","Stage"
"CG4404","Cis x Trans","Stage"
"psd","Cis x Trans","Stage"
"CG5755","Cis x Trans","Stage"
"CG15262","Cis x Trans","Stage"
"CG5440","Cis x Trans","Stage"
"CG5177","Cis x Trans","Stage"
"CG46025","Cis x Trans","Stage"
"COX4L","Cis x Trans","Stage"
"CG12831","Cis x Trans","Stage"
"CG9406","Cis x Trans","Stage"
"whip","Cis x Trans","Stage"
"CG14259","Cis x Trans","Stage"
"Cpr78E","Cis x Trans","Stage"
"CG9879","Cis x Trans","Stage"
"CG7848","Cis x Trans","Stage"
"Acyp","Cis x Trans","Stage"
"fd96Cb","Cis x Trans","Stage"
"TpnC41C","Cis x Trans","Stage"
"CG7755","Cis x Trans","Stage"
"TM4SF","Cis x Trans","Stage"
"CG34235","Cis x Trans","Stage"
"Lsp1gamma","Cis x Trans","Stage"
