"Gene","Mechanism","Factor"
"CG11221","Cis x Trans","Stage"
"egr","Cis x Trans","Stage"
"tara","Cis x Trans","Stage"
"CG13160","Cis x Trans","Stage"
"CG9698","Cis x Trans","Stage"
"PI4KIIIalpha","Cis x Trans","Stage"
"Alas","Cis x Trans","Stage"
"CG8617","Cis x Trans","Stage"
"l(2)01289","Cis x Trans","Stage"
"CG9149","Cis x Trans","Stage"
"CG9512","Cis x Trans","Stage"
"CG2543","Cis x Trans","Stage"
"CG33521","Cis x Trans","Stage"
"CG3326","Cis x Trans","Stage"
"sNPF","Cis x Trans","Stage"
"term","Cis x Trans","Stage"
"DNApol-alpha73","Cis x Trans","Stage"
"Vmat","Cis x Trans","Stage"
"Usp32","Cis x Trans","Stage"
"CG7593","Cis x Trans","Stage"
"RIC-3","Cis x Trans","Stage"
"sas","Cis x Trans","Stage"
"croc","Cis x Trans","Stage"
"CG31267","Cis x Trans","Stage"
"CG42748","Cis x Trans","Stage"
"CG5958","Cis x Trans","Stage"
"LeuRS-m","Cis x Trans","Stage"
"CG3592","Cis x Trans","Stage"
"CG18336","Cis x Trans","Stage"
"form3","Cis x Trans","Stage"
"Shaw","Cis x Trans","Stage"
"CG30183","Cis x Trans","Stage"
"achi","Cis x Trans","Stage"
"Nep2","Cis x Trans","Stage"
"CG12917","Cis x Trans","Stage"
"cutlet","Cis x Trans","Stage"
"CG17841","Cis x Trans","Stage"
"CG5892","Cis x Trans","Stage"
"CG10650","Cis x Trans","Stage"
"ND-B17","Cis x Trans","Stage"
"dpr8","Cis x Trans","Stage"
"mRpL16","Cis x Trans","Stage"
"CG8771","Cis x Trans","Stage"
"CG31021","Cis x Trans","Stage"
"CHKov1","Cis x Trans","Stage"
"bor","Cis x Trans","Stage"
"CG34253","Cis x Trans","Stage"
"Rbcn-3B","Cis x Trans","Stage"
"CG7742","Cis x Trans","Stage"
"CG14891","Cis x Trans","Stage"
"ND-B14.5A","Cis x Trans","Stage"
"nmdyn-D6","Cis x Trans","Stage"
"TwdlP","Cis x Trans","Stage"
"CG32564","Cis x Trans","Stage"
"CG5116","Cis x Trans","Stage"
"CG15186","Cis x Trans","Stage"
"Mitf","Cis x Trans","Stage"
"CG7991","Cis x Trans","Stage"
"DNApol-alpha60","Cis x Trans","Stage"
"GstS1","Cis x Trans","Stage"
"enc","Cis x Trans","Stage"
"PTP-ER","Cis x Trans","Stage"
"CG2909","Cis x Trans","Stage"
"dao","Cis x Trans","Stage"
"CG13078","Cis x Trans","Stage"
"jdp","Cis x Trans","Stage"
"CG13650","Cis x Trans","Stage"
"CG14500","Cis x Trans","Stage"
"CG5909","Cis x Trans","Stage"
"Rab3","Cis x Trans","Stage"
"CG32523","Cis x Trans","Stage"
"St1","Cis x Trans","Stage"
"CG15065","Cis x Trans","Stage"
"Nup44A","Cis x Trans","Stage"
"Ance-4","Cis x Trans","Stage"
"Tpi","Cis x Trans","Stage"
"Usp1","Cis x Trans","Stage"
"CG17691","Cis x Trans","Stage"
"CG10962","Cis x Trans","Stage"
"CG14052","Cis x Trans","Stage"
"CG15098","Cis x Trans","Stage"
"CG10623","Cis x Trans","Stage"
"CG15908","Cis x Trans","Stage"
"aust","Cis x Trans","Stage"
"opa","Cis x Trans","Stage"
"Ugt37b1","Cis x Trans","Stage"
"CG1662","Cis x Trans","Stage"
"mRpL24","Cis x Trans","Stage"
"PHDP","Cis x Trans","Stage"
"CG31445","Cis x Trans","Stage"
"CG10543","Cis x Trans","Stage"
"Surf1","Cis x Trans","Stage"
"CG8607","Cis x Trans","Stage"
"Met","Cis x Trans","Stage"
"CG7737","Cis x Trans","Stage"
"Rpn8","Cis x Trans","Stage"
"CG13287","Cis x Trans","Stage"
"CG3819","Cis x Trans","Stage"
"Hexo1","Cis x Trans","Stage"
"aPKC","Cis x Trans","Stage"
"Nap1","Cis x Trans","Stage"
"CG10581","Cis x Trans","Stage"
"CG43736","Cis x Trans","Stage"
"GEFmeso","Cis x Trans","Stage"
"CG11342","Cis x Trans","Stage"
"CG43153","Cis x Trans","Stage"
"Aldh","Cis x Trans","Stage"
"CG17385","Cis x Trans","Stage"
"CG16791","Cis x Trans","Stage"
"CG1785","Cis x Trans","Stage"
"CG6565","Cis x Trans","Stage"
"NtR","Cis x Trans","Stage"
"Tsp42Eb","Cis x Trans","Stage"
"beta4GalNAcTA","Cis x Trans","Stage"
"Spn43Ad","Cis x Trans","Stage"
"Cyp4ae1","Cis x Trans","Stage"
"l(2)dtl","Cis x Trans","Stage"
"dpn","Cis x Trans","Stage"
"uri","Cis x Trans","Stage"
"qsm","Cis x Trans","Stage"
"Prat","Cis x Trans","Stage"
"CG14764","Cis x Trans","Stage"
"CG1218","Cis x Trans","Stage"
"CG7631","Cis x Trans","Stage"
"CG10565","Cis x Trans","Stage"
"Tif-IA","Cis x Trans","Stage"
"mRpS11","Cis x Trans","Stage"
"pn","Cis x Trans","Stage"
"JhI-1","Cis x Trans","Stage"
"chif","Cis x Trans","Stage"
"FucTB","Cis x Trans","Stage"
"CG10352","Cis x Trans","Stage"
"mRpL17","Cis x Trans","Stage"
"Cyp4ac1","Cis x Trans","Stage"
"Cyp4c3","Cis x Trans","Stage"
"LPCAT","Cis x Trans","Stage"
"ifc","Cis x Trans","Stage"
"dpr14","Cis x Trans","Stage"
"CG5033","Cis x Trans","Stage"
"CG12484","Cis x Trans","Stage"
"Stam","Cis x Trans","Stage"
"nrv1","Cis x Trans","Stage"
"CG14441","Cis x Trans","Stage"
"CG3238","Cis x Trans","Stage"
"CG42346","Cis x Trans","Stage"
"Cht7","Cis x Trans","Stage"
"lectin-24Db","Cis x Trans","Stage"
"NimB3","Cis x Trans","Stage"
"CG1299","Cis x Trans","Stage"
"Drep3","Cis x Trans","Stage"
"ChAT","Cis x Trans","Stage"
"CG14515","Cis x Trans","Stage"
"Orcokinin","Cis x Trans","Stage"
"Mcm3","Cis x Trans","Stage"
"CG6885","Cis x Trans","Stage"
"Phb2","Cis x Trans","Stage"
"Lgr4","Cis x Trans","Stage"
"Sap-r","Cis x Trans","Stage"
"CG34384","Cis x Trans","Stage"
"CG31013","Cis x Trans","Stage"
"Vta1","Cis x Trans","Stage"
"Syt1","Cis x Trans","Stage"
"Seipin","Cis x Trans","Stage"
"MAGE","Cis x Trans","Stage"
"Tim23","Cis x Trans","Stage"
"sosie","Cis x Trans","Stage"
"CG13488","Cis x Trans","Stage"
"Rbm13","Cis x Trans","Stage"
"CG4239","Cis x Trans","Stage"
"5-HT1B","Cis x Trans","Stage"
"axo","Cis x Trans","Stage"
"CG18606","Cis x Trans","Stage"
"CG17770","Cis x Trans","Stage"
"CG1657","Cis x Trans","Stage"
"Cyp12c1","Cis x Trans","Stage"
"CG10481","Cis x Trans","Stage"
"Roe1","Cis x Trans","Stage"
"CG8915","Cis x Trans","Stage"
"CG14298","Cis x Trans","Stage"
"Samuel","Cis x Trans","Stage"
"CG3649","Cis x Trans","Stage"
"CG9003","Cis x Trans","Stage"
"CG12517","Cis x Trans","Stage"
"CG14330","Cis x Trans","Stage"
"wrapper","Cis x Trans","Stage"
"TBC1D5","Cis x Trans","Stage"
"CG15710","Cis x Trans","Stage"
"CG3515","Cis x Trans","Stage"
"CG13228","Cis x Trans","Stage"
"CG14826","Cis x Trans","Stage"
"CG42367","Cis x Trans","Stage"
"Acp63F","Cis x Trans","Stage"
"CG34217","Cis x Trans","Stage"
"Uvrag","Cis x Trans","Stage"
"CG15930","Cis x Trans","Stage"
"Hsc70-5","Cis x Trans","Stage"
"CG3332","Cis x Trans","Stage"
"Mys45A","Cis x Trans","Stage"
"CG16833","Cis x Trans","Stage"
"euc","Cis x Trans","Stage"
"Dr","Cis x Trans","Stage"
"CG15517","Cis x Trans","Stage"
"CG13707","Cis x Trans","Stage"
"fd59A","Cis x Trans","Stage"
"zip","Cis x Trans","Stage"
"spin","Cis x Trans","Stage"
"CG8907","Cis x Trans","Stage"
"CG2003","Cis x Trans","Stage"
"pio","Cis x Trans","Stage"
"Ssl","Cis x Trans","Stage"
"CG12496","Cis x Trans","Stage"
"CG3107","Cis x Trans","Stage"
"MME1","Cis x Trans","Stage"
"CG8841","Cis x Trans","Stage"
"erm","Cis x Trans","Stage"
"CIA30","Cis x Trans","Stage"
"CG1946","Cis x Trans","Stage"
"CG5757","Cis x Trans","Stage"
"CG8026","Cis x Trans","Stage"
"HLH4C","Cis x Trans","Stage"
"s-cup","Cis x Trans","Stage"
"CG15170","Cis x Trans","Stage"
"CG43187","Cis x Trans","Stage"
"CG30491","Cis x Trans","Stage"
"CG43320","Cis x Trans","Stage"
"arr","Cis x Trans","Stage"
"CG14321","Cis x Trans","Stage"
"hkb","Cis x Trans","Stage"
"CG32649","Cis x Trans","Stage"
"CG45002","Cis x Trans","Stage"
"CG43707","Cis x Trans","Stage"
"Ak6","Cis x Trans","Stage"
"CG8027","Cis x Trans","Stage"
"CG15773","Cis x Trans","Stage"
"CG12560","Cis x Trans","Stage"
"Mpc1","Cis x Trans","Stage"
"CG3831","Cis x Trans","Stage"
"CG18507","Cis x Trans","Stage"
"Tsp42Ej","Cis x Trans","Stage"
"Pdk1","Cis x Trans","Stage"
"mRpL15","Cis x Trans","Stage"
"mRpS6","Cis x Trans","Stage"
"Pex10","Cis x Trans","Stage"
"CG4610","Cis x Trans","Stage"
"spel1","Cis x Trans","Stage"
"CG32425","Cis x Trans","Stage"
"CG31664","Cis x Trans","Stage"
"HipHop","Cis x Trans","Stage"
"kel","Cis x Trans","Stage"
"CG4650","Cis x Trans","Stage"
"CG14238","Cis x Trans","Stage"
"CG42697","Cis x Trans","Stage"
"mus201","Cis x Trans","Stage"
"bark","Cis x Trans","Stage"
"niki","Cis x Trans","Stage"
"Osi5","Cis x Trans","Stage"
"Ns1","Cis x Trans","Stage"
"GluRIIC","Cis x Trans","Stage"
"Pka-R2","Cis x Trans","Stage"
"Gr63a","Cis x Trans","Stage"
"CG3526","Cis x Trans","Stage"
"Dhc93AB","Cis x Trans","Stage"
"CG33160","Cis x Trans","Stage"
"CG34049","Cis x Trans","Stage"
"CG4297","Cis x Trans","Stage"
"CG1635","Cis x Trans","Stage"
"Rcd6","Cis x Trans","Stage"
"CG15561","Cis x Trans","Stage"
"CG12851","Cis x Trans","Stage"
"CG7781","Cis x Trans","Stage"
"Pcl","Cis x Trans","Stage"
"Jra","Cis x Trans","Stage"
"CG5966","Cis x Trans","Stage"
"Nufip","Cis x Trans","Stage"
"DptA","Cis x Trans","Stage"
"ana2","Cis x Trans","Stage"
"Camta","Cis x Trans","Stage"
"b","Cis x Trans","Stage"
"neb","Cis x Trans","Stage"
"CG4984","Cis x Trans","Stage"
"Erk7","Cis x Trans","Stage"
"CG30043","Cis x Trans","Stage"
"RIOK2","Cis x Trans","Stage"
"inaD","Cis x Trans","Stage"
"CG14655","Cis x Trans","Stage"
"CG30271","Cis x Trans","Stage"
"twr","Cis x Trans","Stage"
"bi","Cis x Trans","Stage"
"CG13359","Cis x Trans","Stage"
"CapaR","Cis x Trans","Stage"
"CG13937","Cis x Trans","Stage"
"Zip99C","Cis x Trans","Stage"
"CG13215","Cis x Trans","Stage"
"sug","Cis x Trans","Stage"
"pigs","Cis x Trans","Stage"
"CG15293","Cis x Trans","Stage"
"pns","Cis x Trans","Stage"
"sima","Cis x Trans","Stage"
"Lim3","Cis x Trans","Stage"
"Vdup1","Cis x Trans","Stage"
"C1GalTA","Cis x Trans","Stage"
"Gk2","Cis x Trans","Stage"
"TwdlV","Cis x Trans","Stage"
"CG34185","Cis x Trans","Stage"
"serp","Cis x Trans","Stage"
"CG15515","Cis x Trans","Stage"
"CG8008","Cis x Trans","Stage"
"nvy","Cis x Trans","Stage"
"DNApol-alpha180","Cis x Trans","Stage"
"CG9034","Cis x Trans","Stage"
"Lsd-2","Cis x Trans","Stage"
"CG13532","Cis x Trans","Stage"
"CG31600","Cis x Trans","Stage"
"CG5569","Cis x Trans","Stage"
"Tret1-1","Cis x Trans","Stage"
"haf","Cis x Trans","Stage"
"CG3104","Cis x Trans","Stage"
"Cyp4d1","Cis x Trans","Stage"
"CG15765","Cis x Trans","Stage"
"Gint3","Cis x Trans","Stage"
"rad50","Cis x Trans","Stage"
"LKRSDH","Cis x Trans","Stage"
"gbb","Cis x Trans","Stage"
"Pfk","Cis x Trans","Stage"
"exu","Cis x Trans","Stage"
"CG5199","Cis x Trans","Stage"
"Cpr49Ah","Cis x Trans","Stage"
"CG10936","Cis x Trans","Stage"
"TyrR","Cis x Trans","Stage"
"CG42822","Cis x Trans","Stage"
"CG31709","Cis x Trans","Stage"
"CG8046","Cis x Trans","Stage"
"CG5592","Cis x Trans","Stage"
"Hr3","Cis x Trans","Stage"
"Rgk2","Cis x Trans","Stage"
"yin","Cis x Trans","Stage"
"CG10671","Cis x Trans","Stage"
"CG17834","Cis x Trans","Stage"
"CG3251","Cis x Trans","Stage"
"Panx","Cis x Trans","Stage"
"CG7137","Cis x Trans","Stage"
"CG11585","Cis x Trans","Stage"
"Drice","Cis x Trans","Stage"
"JhI-26","Cis x Trans","Stage"
"CG42271","Cis x Trans","Stage"
"Gcn2","Cis x Trans","Stage"
"Cyp6a18","Cis x Trans","Stage"
"Muc11A","Cis x Trans","Stage"
"blow","Cis x Trans","Stage"
"CG11382","Cis x Trans","Stage"
"Nrk","Cis x Trans","Stage"
"CG18636","Cis x Trans","Stage"
"CG12163","Cis x Trans","Stage"
"CG3106","Cis x Trans","Stage"
"CG8910","Cis x Trans","Stage"
"Sp7","Cis x Trans","Stage"
"Ccp84Ab","Cis x Trans","Stage"
"Bsg25A","Cis x Trans","Stage"
"CG6865","Cis x Trans","Stage"
"CG3609","Cis x Trans","Stage"
"CG32563","Cis x Trans","Stage"
"CG6543","Cis x Trans","Stage"
"CG32248","Cis x Trans","Stage"
"CG32281","Cis x Trans","Stage"
"CG15012","Cis x Trans","Stage"
"CG10444","Cis x Trans","Stage"
"SmydA-5","Cis x Trans","Stage"
"Nmdar2","Cis x Trans","Stage"
"Nmd3","Cis x Trans","Stage"
"magu","Cis x Trans","Stage"
"P32","Cis x Trans","Stage"
"CG8353","Cis x Trans","Stage"
"CG5098","Cis x Trans","Stage"
"CG32395","Cis x Trans","Stage"
"CG14326","Cis x Trans","Stage"
"RpLP0-like","Cis x Trans","Stage"
"CG5150","Cis x Trans","Stage"
"CG2059","Cis x Trans","Stage"
"CG13170","Cis x Trans","Stage"
"twe","Cis x Trans","Stage"
"CG10068","Cis x Trans","Stage"
"CG12134","Cis x Trans","Stage"
"CG13690","Cis x Trans","Stage"
"Pcd","Cis x Trans","Stage"
"Dbi","Cis x Trans","Stage"
"CG2681","Cis x Trans","Stage"
"hdly","Cis x Trans","Stage"
"ttv","Cis x Trans","Stage"
"CG18003","Cis x Trans","Stage"
"fus","Cis x Trans","Stage"
"CG42449","Cis x Trans","Stage"
"CG32631","Cis x Trans","Stage"
"dah","Cis x Trans","Stage"
"CG8642","Cis x Trans","Stage"
"dgo","Cis x Trans","Stage"
"fy","Cis x Trans","Stage"
"CG15478","Cis x Trans","Stage"
"CG34196","Cis x Trans","Stage"
"CG15556","Cis x Trans","Stage"
"ItgaPS4","Cis x Trans","Stage"
"zye","Cis x Trans","Stage"
"CG17292","Cis x Trans","Stage"
"CG11123","Cis x Trans","Stage"
"CG9686","Cis x Trans","Stage"
"stj","Cis x Trans","Stage"
"mu2","Cis x Trans","Stage"
"Pgk","Cis x Trans","Stage"
"rno","Cis x Trans","Stage"
"CG8180","Cis x Trans","Stage"
"Cpr49Ad","Cis x Trans","Stage"
"CG31612","Cis x Trans","Stage"
"CG4269","Cis x Trans","Stage"
"mRpS22","Cis x Trans","Stage"
"ND-B14","Cis x Trans","Stage"
"Cpr47Eg","Cis x Trans","Stage"
"CG2137","Cis x Trans","Stage"
"CG11555","Cis x Trans","Stage"
"Cpr47Ee","Cis x Trans","Stage"
"RnrS","Cis x Trans","Stage"
"CG4078","Cis x Trans","Stage"
"CG13773","Cis x Trans","Stage"
"Btnd","Cis x Trans","Stage"
"CG16854","Cis x Trans","Stage"
"His1:CG33849","Cis x Trans","Stage"
"rib","Cis x Trans","Stage"
"Cpr47Ec","Cis x Trans","Stage"
"ninaD","Cis x Trans","Stage"
"CG13716","Cis x Trans","Stage"
"pk","Cis x Trans","Stage"
"CG14636","Cis x Trans","Stage"
"CG2662","Cis x Trans","Stage"
"CG5255","Cis x Trans","Stage"
"Non3","Cis x Trans","Stage"
"Pkc98E","Cis x Trans","Stage"
"BBS8","Cis x Trans","Stage"
"mfrn","Cis x Trans","Stage"
"l(2)k09022","Cis x Trans","Stage"
"CG12662","Cis x Trans","Stage"
"Marf","Cis x Trans","Stage"
"GalT1","Cis x Trans","Stage"
"CG9008","Cis x Trans","Stage"
"CG8960","Cis x Trans","Stage"
"CG13893","Cis x Trans","Stage"
"CG12111","Cis x Trans","Stage"
"Acf","Cis x Trans","Stage"
"Drsl5","Cis x Trans","Stage"
"CG33506","Cis x Trans","Stage"
"na","Cis x Trans","Stage"
"CG2901","Cis x Trans","Stage"
"CG15213","Cis x Trans","Stage"
"CG33228","Cis x Trans","Stage"
"scramb2","Cis x Trans","Stage"
"qua","Cis x Trans","Stage"
"Parg","Cis x Trans","Stage"
"CG12091","Cis x Trans","Stage"
"CG9095","Cis x Trans","Stage"
"Peritrophin-15b","Cis x Trans","Stage"
"Wnt2","Cis x Trans","Stage"
"pirk","Cis x Trans","Stage"
"CG7950","Cis x Trans","Stage"
"Cyp6t3","Cis x Trans","Stage"
"Bsg25D","Cis x Trans","Stage"
"LamC","Cis x Trans","Stage"
"CG1136","Cis x Trans","Stage"
"dom","Cis x Trans","Stage"
"SNF4Agamma","Cis x Trans","Stage"
"CG1824","Cis x Trans","Stage"
"Sardh","Cis x Trans","Stage"
"CG2260","Cis x Trans","Stage"
"CG3216","Cis x Trans","Stage"
"CG10433","Cis x Trans","Stage"
"CG30285","Cis x Trans","Stage"
"nej","Cis x Trans","Stage"
"fs(1)K10","Cis x Trans","Stage"
"slou","Cis x Trans","Stage"
"CG13693","Cis x Trans","Stage"
"CG32750","Cis x Trans","Stage"
"msl-2","Cis x Trans","Stage"
"CG2972","Cis x Trans","Stage"
"KdelR","Cis x Trans","Stage"
"retm","Cis x Trans","Stage"
"nop5","Cis x Trans","Stage"
"mTerf3","Cis x Trans","Stage"
"Fad2","Cis x Trans","Stage"
"CG17159","Cis x Trans","Stage"
"CG3038","Cis x Trans","Stage"
"Trap1","Cis x Trans","Stage"
"Prx5","Cis x Trans","Stage"
"Glt","Cis x Trans","Stage"
"wol","Cis x Trans","Stage"
"mRpL44","Cis x Trans","Stage"
"Sc2","Cis x Trans","Stage"
"Lip2","Cis x Trans","Stage"
"Cyp49a1","Cis x Trans","Stage"
"MAN1","Cis x Trans","Stage"
"mthl9","Cis x Trans","Stage"
"CG14020","Cis x Trans","Stage"
"Nup154","Cis x Trans","Stage"
"l(3)03670","Cis x Trans","Stage"
"CG12963","Cis x Trans","Stage"
"mino","Cis x Trans","Stage"
"Egm","Cis x Trans","Stage"
"ND-13A","Cis x Trans","Stage"
"stau","Cis x Trans","Stage"
"CG4619","Cis x Trans","Stage"
"Tlk","Cis x Trans","Stage"
"CG17593","Cis x Trans","Stage"
"CG9304","Cis x Trans","Stage"
"CG7856","Cis x Trans","Stage"
"NijB","Cis x Trans","Stage"
"CG2124","Cis x Trans","Stage"
"P5CDh1","Cis x Trans","Stage"
"CG5800","Cis x Trans","Stage"
"CG13126","Cis x Trans","Stage"
"mim","Cis x Trans","Stage"
"lost","Cis x Trans","Stage"
"CG10340","Cis x Trans","Stage"
"CG17283","Cis x Trans","Stage"
"Ef1alpha100E","Cis x Trans","Stage"
"rho-4","Cis x Trans","Stage"
"CG13759","Cis x Trans","Stage"
"CG10075","Cis x Trans","Stage"
"CG8563","Cis x Trans","Stage"
"CG2453","Cis x Trans","Stage"
"CG34224","Cis x Trans","Stage"
"Vago","Cis x Trans","Stage"
"mms4","Cis x Trans","Stage"
"CG32379","Cis x Trans","Stage"
"CG15255","Cis x Trans","Stage"
"CG12054","Cis x Trans","Stage"
"CG17328","Cis x Trans","Stage"
"CG7896","Cis x Trans","Stage"
"CG4554","Cis x Trans","Stage"
"CG34043","Cis x Trans","Stage"
"hppy","Cis x Trans","Stage"
"Tdc1","Cis x Trans","Stage"
"Gycbeta100B","Cis x Trans","Stage"
"CG3776","Cis x Trans","Stage"
"mRpL21","Cis x Trans","Stage"
"Su(var)2-10","Cis x Trans","Stage"
"CG8258","Cis x Trans","Stage"
"CG11035","Cis x Trans","Stage"
"CG1703","Cis x Trans","Stage"
"Ts","Cis x Trans","Stage"
"tsg","Cis x Trans","Stage"
"CG4825","Cis x Trans","Stage"
"CG18135","Cis x Trans","Stage"
"CG6431","Cis x Trans","Stage"
"nrv2","Cis x Trans","Stage"
"CG12862","Cis x Trans","Stage"
"COQ7","Cis x Trans","Stage"
"CG18128","Cis x Trans","Stage"
"ECSIT","Cis x Trans","Stage"
"rn","Cis x Trans","Stage"
"Rif1","Cis x Trans","Stage"
"CG42326","Cis x Trans","Stage"
"CG32694","Cis x Trans","Stage"
"Mco1","Cis x Trans","Stage"
"CG3630","Cis x Trans","Stage"
"Dscam1","Cis x Trans","Stage"
"Sln","Cis x Trans","Stage"
"CG3735","Cis x Trans","Stage"
"CG34265","Cis x Trans","Stage"
"CG3309","Cis x Trans","Stage"
"CG10031","Cis x Trans","Stage"
"Ald","Cis x Trans","Stage"
"hoip","Cis x Trans","Stage"
"Cyp316a1","Cis x Trans","Stage"
"CG2812","Cis x Trans","Stage"
"Psf2","Cis x Trans","Stage"
"CG9084","Cis x Trans","Stage"
"sprt","Cis x Trans","Stage"
"CG4594","Cis x Trans","Stage"
"CG3829","Cis x Trans","Stage"
"Tl","Cis x Trans","Stage"
"unpg","Cis x Trans","Stage"
"CG30379","Cis x Trans","Stage"
"SCCRO4","Cis x Trans","Stage"
"CG5742","Cis x Trans","Stage"
"CG13369","Cis x Trans","Stage"
"CG2118","Cis x Trans","Stage"
"CG1575","Cis x Trans","Stage"
"Ppt1","Cis x Trans","Stage"
"Karybeta3","Cis x Trans","Stage"
"stg","Cis x Trans","Stage"
"Def","Cis x Trans","Stage"
"ATPCL","Cis x Trans","Stage"
"CG14277","Cis x Trans","Stage"
"CG8765","Cis x Trans","Stage"
"CG10462","Cis x Trans","Stage"
"CG15237","Cis x Trans","Stage"
"Ubr3","Cis x Trans","Stage"
"CG6295","Cis x Trans","Stage"
"LanA","Cis x Trans","Stage"
"Hmgs","Cis x Trans","Stage"
"Cpr49Af","Cis x Trans","Stage"
"bnk","Cis x Trans","Stage"
"TrissinR","Cis x Trans","Stage"
"CG14642","Cis x Trans","Stage"
"Cct1","Cis x Trans","Stage"
"CG14005","Cis x Trans","Stage"
"Hrb27C","Cis x Trans","Stage"
"CG15005","Cis x Trans","Stage"
"CG31886","Cis x Trans","Stage"
"Chrac-14","Cis x Trans","Stage"
"mRpS23","Cis x Trans","Stage"
"CG2641","Cis x Trans","Stage"
"CG1789","Cis x Trans","Stage"
"CG6550","Cis x Trans","Stage"
"CG8079","Cis x Trans","Stage"
"ste24c","Cis x Trans","Stage"
"CG3699","Cis x Trans","Stage"
"CG30280","Cis x Trans","Stage"
"CG13285","Cis x Trans","Stage"
"CG42269","Cis x Trans","Stage"
"Adh","Cis x Trans","Stage"
"CG4972","Cis x Trans","Stage"
"Zip42C.1","Cis x Trans","Stage"
"emc","Cis x Trans","Stage"
"CG34315","Cis x Trans","Stage"
"Or59b","Cis x Trans","Stage"
"CG7179","Cis x Trans","Stage"
"grp","Cis x Trans","Stage"
"SP1173","Cis x Trans","Stage"
"CG12994","Cis x Trans","Stage"
"didum","Cis x Trans","Stage"
"CG7744","Cis x Trans","Stage"
"CG13506","Cis x Trans","Stage"
"CG10188","Cis x Trans","Stage"
"dpr13","Cis x Trans","Stage"
"l(2)not","Cis x Trans","Stage"
"CG15254","Cis x Trans","Stage"
"CG15628","Cis x Trans","Stage"
"CG10591","Cis x Trans","Stage"
"CG12877","Cis x Trans","Stage"
"Dbp21E2","Cis x Trans","Stage"
"Dgp-1","Cis x Trans","Stage"
"l(2)34Fd","Cis x Trans","Stage"
"l(2)k09848","Cis x Trans","Stage"
"CG17324","Cis x Trans","Stage"
"Ance-5","Cis x Trans","Stage"
"CRIF","Cis x Trans","Stage"
"luna","Cis x Trans","Stage"
"Tsp42El","Cis x Trans","Stage"
"Rab23","Cis x Trans","Stage"
"arx","Cis x Trans","Stage"
"Ir60b","Cis x Trans","Stage"
"CG12512","Cis x Trans","Stage"
"Jhe","Cis x Trans","Stage"
"VGAT","Cis x Trans","Stage"
"CG13096","Cis x Trans","Stage"
"b6","Cis x Trans","Stage"
"CG16762","Cis x Trans","Stage"
"AstC","Cis x Trans","Stage"
"unc-104","Cis x Trans","Stage"
"RfC4","Cis x Trans","Stage"
"CG12769","Cis x Trans","Stage"
"CG4629","Cis x Trans","Stage"
"Ssrp","Cis x Trans","Stage"
"zen2","Cis x Trans","Stage"
"CG17104","Cis x Trans","Stage"
"CG8080","Cis x Trans","Stage"
"CG11453","Cis x Trans","Stage"
"mRpL4","Cis x Trans","Stage"
"amos","Cis x Trans","Stage"
"CG12736","Cis x Trans","Stage"
"Diap2","Cis x Trans","Stage"
"CG30284","Cis x Trans","Stage"
"Usp20-33","Cis x Trans","Stage"
"ND-B14.5B","Cis x Trans","Stage"
"CG10903","Cis x Trans","Stage"
"EDTP","Cis x Trans","Stage"
"Ent2","Cis x Trans","Stage"
"CG16985","Cis x Trans","Stage"
"CG42634","Cis x Trans","Stage"
"hdc","Cis x Trans","Stage"
"Pex14","Cis x Trans","Stage"
"CG16771","Cis x Trans","Stage"
"CG33143","Cis x Trans","Stage"
"CG5928","Cis x Trans","Stage"
"ro","Cis x Trans","Stage"
"TRAM","Cis x Trans","Stage"
"CG33966","Cis x Trans","Stage"
"CG14322","Cis x Trans","Stage"
"CG31098","Cis x Trans","Stage"
"CG7943","Cis x Trans","Stage"
"CG10527","Cis x Trans","Stage"
"hbn","Cis x Trans","Stage"
"fray","Cis x Trans","Stage"
"CG13579","Cis x Trans","Stage"
"Gbp2","Cis x Trans","Stage"
"Hr96","Cis x Trans","Stage"
"pds5","Cis x Trans","Stage"
"Uro","Cis x Trans","Stage"
"CG11353","Cis x Trans","Stage"
"CG7246","Cis x Trans","Stage"
"Cctgamma","Cis x Trans","Stage"
"bcn92","Cis x Trans","Stage"
"CG4553","Cis x Trans","Stage"
"nAChRalpha6","Cis x Trans","Stage"
"CG33181","Cis x Trans","Stage"
"l(2)34Fc","Cis x Trans","Stage"
"grh","Cis x Trans","Stage"
"Pez","Cis x Trans","Stage"
"srw","Cis x Trans","Stage"
"Mnn1","Cis x Trans","Stage"
"Rpn2","Cis x Trans","Stage"
"Vamp7","Cis x Trans","Stage"
"Cyp6a2","Cis x Trans","Stage"
"CG11505","Cis x Trans","Stage"
"frj","Cis x Trans","Stage"
"vito","Cis x Trans","Stage"
"CG34453","Cis x Trans","Stage"
"CG30157","Cis x Trans","Stage"
"CG1139","Cis x Trans","Stage"
"Spn42Db","Cis x Trans","Stage"
"CG8675","Cis x Trans","Stage"
"CG4038","Cis x Trans","Stage"
"SP1029","Cis x Trans","Stage"
"CG6724","Cis x Trans","Stage"
"POSH","Cis x Trans","Stage"
"CG5131","Cis x Trans","Stage"
"IntS12","Cis x Trans","Stage"
"CG32243","Cis x Trans","Stage"
"CG15332","Cis x Trans","Stage"
"cana","Cis x Trans","Stage"
"CG11319","Cis x Trans","Stage"
"Cp1","Cis x Trans","Stage"
"CG18808","Cis x Trans","Stage"
"Nelf-A","Cis x Trans","Stage"
"gammaTub23C","Cis x Trans","Stage"
